,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
59,8.0,-73.97509,0.0,1.3803941882584747,-0.1890263501778804,1.7135402308453043,65
60,52.0,-73.99849,1.0,-0.29349376196389787,-0.1890263501778804,1.8965335991389003,230
61,6.0,-73.95696,1.0,-0.29349376196389787,-0.1890263501778804,0.11234825827633871,125
62,56.0,-73.90057,0.0,-0.29349376196389787,-0.1890263501778804,-0.5586274254668468,30
63,15.0,-73.95752,1.0,1.3803941882584747,-0.1890263501778804,-0.8483669252650407,110
64,14.0,-73.99868,1.0,-0.29349376196389787,-0.1890263501778804,0.10472353459743888,199
65,7.0,-73.99297,1.0,1.3803941882584747,-0.06992394785169967,1.7516638492398033,70
66,28.0,-73.95678,1.0,-0.11414862444007223,-0.1890263501778804,1.9270324938544996,225
67,25.0,-73.93037,1.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,113
68,7.0,-73.98652,1.0,-0.233712049455956,-0.1890263501778804,-0.8483669252650407,169
69,7.0,-73.9942,1.0,1.3803941882584747,0.16828085680066177,1.4238007310471106,185
70,7.0,-73.98533,1.0,1.3803941882584747,1.3295292794809237,1.9346572175333996,97
71,15.0,-73.94337,1.0,-0.35327547447183977,-0.1890263501778804,0.21909438978093643,114
72,5.0,-73.97605,1.0,1.3803941882584747,1.2699780783178334,1.9346572175333996,200
73,20.0,-73.94362,1.0,1.3803941882584747,1.3295292794809237,1.766913296597603,149
74,2.0,-73.94764,1.0,-0.35327547447183977,-0.1592507495963352,-0.7416207937604429,150
75,32.0,-73.99338,0.0,-0.29349376196389787,-0.1890263501778804,-0.8483669252650407,75
76,21.0,-73.93317,0.0,-0.1739303369480141,-0.1592507495963352,-0.5738768728246465,40
77,42.0,-74.01245,1.0,-0.29349376196389787,9.517819439405846,1.6067940993407066,203
78,8.0,-73.96334,0.0,-0.29349376196389787,-0.1890263501778804,-0.8407422015861408,75
79,3.0,-73.96883,0.0,0.005414800575811527,-0.1890263501778804,-0.21551485991635422,188
80,37.0,-73.81687,0.0,-0.35327547447183977,-0.1592507495963352,0.013226850450640846,48
81,4.0,-73.94074,2.0,-0.35327547447183977,-0.1890263501778804,-0.17739124152185504,89
82,21.0,-73.91851,1.0,-0.35327547447183977,-0.1890263501778804,-0.8483669252650407,130
83,44.0,-73.95801,0.0,-0.1739303369480141,-0.1890263501778804,-0.8483669252650407,55
84,58.0,-73.76053,0.0,-0.35327547447183977,-0.1592507495963352,1.8126616386710022,65
